Reference,Location,Site,Section,Img. Ref. No.,Mineral,Enclosing Phase,Na2O_pct,MgO_pct,Al2O3_pct,SiO2_pct,K2O_pct,CaO_pct,TiO2_pct,V2O5_pct,Cr2O3_pct,MnO_pct,FeO_pct,NiO_pct,Total_pct,Si_wt%,Fe_wt%,Fe57_CPS,Si_CPS,Al27_CPS,Si29_CPS,Data Reduction,Internal Standard,IntStdWv,Li_ppm_7,Be_ppm_9,B_ppm_11,Na_ppm_23,Mg_ppm_25,Al_ppm_27,Si_ppm_29,P_ppm_31,K_ppm_39,Ca_ppm_43,Sc_ppm_45,Ti_ppm_49,V_ppm_51,Cr_ppm_53,Mn_ppm_55,Fe_ppm_57,Co_ppm_59,Ni_ppm_60,Ni_ppm_61,Cu_ppm_63,Zn_ppm_66,Ga_ppm_71,Ge_ppm_72,As_ppm_75,Rb_ppm_85,Sr_ppm_88,Y_ppm_89,Zr_ppm_90,Nb_ppm_93,Mo_ppm_95,Ru_ppm_99,Rh_ppm_103,Pd_ppm_105,Ag_ppm_107,Cd_ppm_111,Sn_ppm_118,Cs_ppm_133,Ba_ppm_137,La_ppm_139,Ce_ppm_140,Pr_ppm_141,Nd_ppm_146,Sm_ppm_147,Eu_ppm_153,Gd_ppm_157,Tb_ppm_159,Dy_ppm_163,Ho_ppm_165,Er_ppm_166,Er_ppm_167,Tm_ppm_169,Yb_ppm_173,Lu_ppm_175,Hf_ppm_178,Os_ppm_192,Pt_ppm_194,Au_ppm_197,Pb_ppm_208,Th_ppm_232,U_ppm_238,Primary RM,Spot Size (µm),Rep Rate (Hz),Method
This Study,Norilsk,Kharaelakh,KH-2,47,oxide3,sulphide,0.010387,4.944851,0.156589,0.030395,bdl,bdl,48.887939,0.61,0.020413,1.004436,43.939861,bdl,99.604872,0.014208583,34.1545752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,48,oxide3,sulphide,0.020774,5.298054,0.117442,0.060791,bdl,bdl,50.591672,0.41,bdl,1.088778,42.532461,0.076011,100.195982,0.028417633,33.0605993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,50,oxide3,sulphide,0.010387,4.319176,0.048934,0.131713,bdl,bdl,44.633709,0.55,bdl,0.651733,48.306941,bdl,98.652593,0.061571148,37.54911854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,51,oxide3,sulphide,0.020774,4.167803,0.009787,0.060791,0.010731,bdl,44.256236,0.35,0.081653,0.697738,48.244849,0.076011,97.976372,0.028417633,37.50085426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,49a,oxide3,sulphide,bdl,6.297116,0.166376,0.070923,bdl,0.030155,50.030562,0.29,0.122479,1.709842,41.12506,0.104515,99.947028,0.033153983,31.96662262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,13,plagioclase,,2.827092,0.050072,30.465399,48.257544,0.20282,15.022342,0.01049,,bdl,bdl,0.653705,,97.489463,22.55868736,0.5081267,,3890.933123,,,EDS IS,Si29,22.55868736,,,,17743.14756,1940.54133,148249.4772,,LOD,,114265.3778,9.099366,222.866739,2.782756,LOD,608.266127,4481.960939,LOD,,LOD,,LOD,20.809104,,,,,0.20686,,,,,,,,,,,,0.650131,0.997359,0.104661,0.48021,,0.486367,,,,,,LOD,LOD,LOD,,,,,,,LOD,LOD,NIST610,65,5,Routine1
This Study,Norilsk,Kharaelakh,KH-2,16,plagioclase,,3.230963,0.040058,29.61409,48.849846,0.217307,14.289061,0.020979,,0.030719,bdl,0.6122,,96.905221,22.8355675,0.475864749,,4424.793619,,,EDS IS,Si29,22.8355675,,,,19980.12443,6693.279361,142091.9641,,LOD,,93980.12362,15.829543,398.854636,28.916961,392.622532,337.78002,5048.003988,3.739262,,LOD,,LOD,15.704901,,,,,1.769917,,,,,,,,,,,,0.791477,1.869631,0.173252,0.872495,0.311605,0.358969,0.261748,,0.276705,0.038639,,0.148324,0.022436,LOD,,,,,,,LOD,LOD,NIST610,65,5,Routine1
This Study,Norilsk,Kharaelakh,KH-2,24,plagioclase,,9.334815,bdl,23.567471,62.323992,0.228165,3.62472,bdl,,bdl,bdl,bdl,bdl,99.079162,29.13425206,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,25,plagioclase,,2.28275,bdl,32.337184,47.480901,bdl,16.727305,bdl,,bdl,bdl,0.603186,bdl,99.431326,22.19563435,0.468858142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,27,plagioclase,,6.087332,1.01506,25.964163,55.21035,0.228165,8.899603,bdl,,bdl,0.091867,1.528072,bdl,99.024612,25.80887715,1.187774582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,33,plagioclase,,3.08443,bdl,31.102525,49.179681,0.374843,14.809165,bdl,,bdl,bdl,0.924885,bdl,99.475529,22.98975365,0.718915663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,41,plagioclase,,4.470385,bdl,29.377633,52.025138,bdl,12.848714,bdl,,bdl,bdl,0.710419,bdl,99.432289,24.3199037,0.552210649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
